,Open,High,Low,Close,Volume,7-day MA,30-day MA,Daily Return,Day,Predicted Close,Upper Band,Lower Band
2024-07-18,230.28,230.44,222.27,224.18,66034585.0,,,,0,218.10691998822847,,
2024-07-19,224.82,226.8,223.275,224.31,49151453.0,,,0.0005798911588901223,1,218.22141489789718,,
2024-07-22,227.01,227.78,223.09,223.96,48201835.0,,,-0.001560340600062382,4,218.56489962690333,,
2024-07-23,224.365,226.94,222.68,225.01,39960260.0,,,0.004688337203071935,5,218.67939453657203,,
2024-07-24,224.0,224.8,217.13,218.54,61777576.0,,,-0.028754277587662802,6,218.79388944624077,,
2024-07-25,218.93,220.85,214.62,217.49,51391199.0,,,-0.004804612427930732,7,218.90838435590948,,
2024-07-26,218.7,219.49,216.01,217.96,41601345.0,221.6357142857143,,0.002161018897420597,8,219.02287926557818,,
2024-07-29,216.96,219.3,215.75,218.24,36311778.0,220.78714285714287,,0.0012846393833731984,11,219.36636399458433,,
2024-07-30,219.19,220.325,216.12,218.8,41643840.0,220.0,,0.002565982404692191,12,219.48085890425304,,
2024-07-31,221.44,223.82,220.63,222.08,50036262.0,219.73142857142855,,0.014990859232175469,13,219.59535381392178,,
2024-08-01,224.37,224.48,217.02,218.36,62500996.0,218.78142857142856,,-0.016750720461095048,14,219.70984872359048,,
2024-08-02,219.15,225.6,217.71,219.86,105568560.0,218.97,,0.006869389998168218,15,219.8243436332592,,
2024-08-05,199.09,213.5,196.0,209.27,119548589.0,217.7957142857143,,-0.0481670153734195,18,220.16782836226534,,
2024-08-06,205.3,209.99,201.07,207.23,69660488.0,216.26285714285717,,-0.009748172217709294,19,220.28232327193405,,
2024-08-07,206.9,213.64,206.39,209.82,63516417.0,215.06,,0.01249819041644562,20,220.39681818160278,,
2024-08-08,213.11,214.2,208.83,213.31,47161149.0,214.2757142857143,,0.016633304737394106,21,220.5113130912715,,
2024-08-09,212.1,216.78,211.97,216.24,42201646.0,213.44142857142856,,0.013735877361586546,22,220.6258080009402,,
2024-08-12,216.07,219.5099,215.6,217.53,38028092.0,213.32285714285715,,0.005965593784683643,25,220.96929272994635,,
2024-08-13,219.01,221.89,219.01,221.27,44155331.0,213.52428571428572,,0.01719303084632018,26,221.08378763961505,,
2024-08-14,220.57,223.03,219.7,221.72,41960574.0,215.30285714285714,,0.002033714466488812,27,221.19828254928376,228.43409011986475,208.08390988013528
2024-08-15,224.6,225.35,222.76,224.72,46414013.0,217.80142857142854,,0.013530579108785856,28,221.3127774589525,228.52987755532155,208.0421224446784
2024-08-16,223.92,226.8271,223.6501,226.05,44340240.0,220.11999999999998,,0.005918476326094657,29,221.4272723686212,228.8589868395874,207.88701316041258
2024-08-19,225.72,225.99,223.04,225.89,40687813.0,221.91714285714286,,-0.0007078080070781478,32,221.77075709762735,229.20453947974013,207.7344605202599
2024-08-20,225.77,227.17,225.45,226.51,30299033.0,223.3842857142857,,0.002744698747177754,33,221.88525200729606,229.4908196891395,207.59818031086056
